game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0106,1,12:00,NYK,0.0,CLE,0.0,,,Start of 1st Period (7:42 PM EST),period,start,0,0,0,0,,,
S2425-G0106,1,12:00,NYK,,CLE,,K. Towns,NYK,Jump Ball Towns vs. Allen: Tip to Garland,Jump Ball,,0,0,0,0,,,h
S2425-G0106,1,11:42,NYK,0.0,CLE,2.0,D. Garland,CLE,Garland 3' Floating Jump Shot (2 PTS) (Wade 1 AST),Made Shot,Floating Jump shot,11,27,3,1,2.0,2.0,v
S2425-G0106,1,11:26,NYK,,CLE,,K. Towns,NYK,Towns Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0106,1,11:13,NYK,,CLE,,D. Garland,CLE,MISS Garland 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,69,155,17,1,2.0,0.0,v
S2425-G0106,1,11:08,NYK,,CLE,,K. Towns,NYK,Towns REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0106,1,10:51,NYK,2.0,CLE,2.0,O. Anunoby,NYK,Anunoby 6' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,-61,17,6,1,2.0,2.0,h
S2425-G0106,1,10:39,NYK,,CLE,,D. Mitchell,CLE,MISS Mitchell 1' Driving Layup,Missed Shot,Driving Layup Shot,6,7,1,1,2.0,0.0,v
S2425-G0106,1,10:39,NYK,,CLE,,O. Anunoby,NYK,Anunoby BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0106,1,10:36,NYK,,CLE,,J. Hart,NYK,Hart REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
