game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0110,1,12:00,DAL,0.0,UTA,0.0,,,Start of 1st Period (8:41 PM EST),period,start,0,0,0,0,,,
S2425-G0110,1,12:00,DAL,,UTA,,D. Gafford,DAL,Jump Ball Gafford vs. Kessler: Tip to George,Jump Ball,,0,0,0,0,,,h
S2425-G0110,1,11:37,DAL,0.0,UTA,2.0,C. Sexton,UTA,Sexton 4' Turnaround Jump Shot (2 PTS),Made Shot,Turnaround Jump Shot,-17,35,4,1,2.0,2.0,v
S2425-G0110,1,11:21,DAL,,UTA,,K. Thompson,DAL,MISS Thompson 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-165,178,24,1,3.0,0.0,h
S2425-G0110,1,11:18,DAL,,UTA,,C. Sexton,UTA,Sexton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,11:02,DAL,,UTA,,K. George,UTA,MISS George 27' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,118,243,27,1,3.0,0.0,v
S2425-G0110,1,10:59,DAL,,UTA,,P. Washington,DAL,Washington REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0110,1,10:51,DAL,,UTA,,P. Washington,DAL,MISS Washington 3PT Jump Shot,Missed Shot,Jump Shot,-222,4,0,1,3.0,0.0,h
S2425-G0110,1,10:51,DAL,,UTA,,,,MAVERICKS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0110,1,10:51,DAL,,UTA,,C. Sexton,UTA,Sexton L.B.FOUL (P1.T1) (K.Lane),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0110,1,10:48,DAL,3.0,UTA,2.0,K. Thompson,DAL,Thompson 26' 3PT Jump Shot (3 PTS) (Dončić 1 AST),Made Shot,Jump Shot,100,242,26,1,3.0,3.0,h
S2425-G0110,1,10:35,DAL,,UTA,,L. Markkanen,UTA,MISS Markkanen 25' 3PT Jump Shot,Missed Shot,Jump Shot,212,128,25,1,3.0,0.0,v
S2425-G0110,1,10:35,DAL,,UTA,,D. Gafford,DAL,Gafford REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0110,1,10:23,DAL,,UTA,,L. Dončić,DAL,MISS Dončić 20' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-148,136,20,1,2.0,0.0,h
S2425-G0110,1,10:21,DAL,,UTA,,K. George,UTA,George REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,10:11,DAL,,UTA,,T. Hendricks,UTA,MISS Hendricks 26' 3PT Jump Shot,Missed Shot,Jump Shot,147,216,26,1,3.0,0.0,v
S2425-G0110,1,10:08,DAL,,UTA,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0110,1,09:59,DAL,5.0,UTA,2.0,P. Washington,DAL,Washington 12' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,10,115,12,1,2.0,2.0,h
S2425-G0110,1,09:44,DAL,,UTA,,L. Markkanen,UTA,MISS Markkanen 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,16,28,3,1,2.0,0.0,v
S2425-G0110,1,09:43,DAL,,UTA,,L. Markkanen,UTA,Markkanen REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,09:42,DAL,,UTA,,L. Markkanen,UTA,MISS Markkanen 4' Tip Layup Shot,Missed Shot,Tip Layup Shot,-33,16,4,1,2.0,0.0,v
S2425-G0110,1,09:42,DAL,,UTA,,L. Markkanen,UTA,Markkanen REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,09:41,DAL,,UTA,,L. Markkanen,UTA,MISS Markkanen 1' Putback Layup,Missed Shot,Putback Layup Shot,-5,11,1,1,2.0,0.0,v
